train_loss,train_acc,val_loss,val_acc,learning_rate,epoch
2.3057271939460877,79.4431554524362,0.22812138767591839,90.78091106290672,0.001,1
0.2538743513877745,89.48955916473318,0.14230908797090425,93.49240780911063,0.001,2
0.2057386481375606,91.7169373549884,0.1212317449329742,95.44468546637744,0.001,3
0.1695083136083903,93.68909512761022,0.18905038235644842,92.29934924078091,0.001,4
0.1541305874991748,93.82830626450117,0.08334962753900166,96.85466377440348,0.001,5
0.1416227779523642,94.40835266821345,0.1769407381873642,93.70932754880694,0.001,6
0.16153498864560215,93.94431554524363,0.07834872039805713,97.39696312364426,0.001,7
0.14719326322967255,94.5939675174014,0.1683685536865659,93.058568329718,0.001,8
0.1559792779730978,94.22273781902553,0.07216038206865176,96.63774403470715,0.001,9
0.13596948752938598,94.82598607888632,0.16995804123720956,94.25162689804772,0.001,10
0.13677776060584518,94.82598607888632,0.18663897072286184,93.27548806941432,0.001,11
0.1456423191698613,94.50116009280742,0.3060215307499487,89.80477223427332,0.001,12
0.1440068037352628,94.43155452436194,0.11780056540436785,95.87852494577007,0.0005,13
0.12262901387142915,95.93967517401393,0.07525637310303362,97.07158351409979,0.0005,14
0.09578068893471801,96.68213457076565,0.15489878606328195,93.49240780911063,0.0005,15
0.08404278988363566,96.84454756380511,0.08800573493675168,96.96312364425162,0.0005,16
0.09652975310950919,96.42691415313224,0.17005699089324858,94.57700650759219,0.00025,17
0.0857038357467563,96.8677494199536,0.09350341696549079,96.42082429501085,0.00025,18
0.0746548632832451,97.35498839907193,0.10253018135172796,96.74620390455532,0.00025,19
0.07447969948321029,97.12296983758701,0.11796071716275162,96.42082429501085,0.00025,20
0.07738916156641035,97.28538283062645,0.06462193644958837,97.93926247288503,0.00025,21
0.06651734298491782,97.28538283062645,0.07571061269444382,97.72234273318873,0.00025,22
0.0679770198290633,97.49419953596288,0.06482911789147504,97.93926247288503,0.00025,23
0.0689201187118198,97.30858468677494,0.06743473038960505,97.5054229934924,0.00025,24
0.06541766386772334,97.4013921113689,0.06403685462709259,98.2646420824295,0.00025,25
